group_id,artifact_id,version,classes_under_test,total_llm_calls,repair_calls,total_llm_generation_time_seconds,total_pipeline_runtime_seconds,total_prompt_tokens,total_output_tokens,num_repair_attempts
aopalliance,aopalliance,1.0,3,6,3,48.0145,95.407,8153,999,1
com.github.lalyos,jfiglet,0.0.8,2,4,2,95.9577,125.469,10742,2500,1
com.github.spotbugs,spotbugs-annotations,4.8.6,2,2,0,16.8942,41.406,1482,479,1
commons-fileupload,commons-fileupload,1.4,23,43,20,732.7471,957.984,105166,18330,1
commons-logging,commons-logging,1.2,13,22,9,652.5631,770.281,82730,15718,1
commons-pool,commons-pool,1.6,16,25,9,561.5949,711.625,94331,12862,1
io.jsonwebtoken,jjwt-jackson,0.11.2,2,4,2,81.5533,97.5,7151,2252,1
io.swagger.core.v3,swagger-annotations,2.2.8,4,4,0,26.2128,66.921,2706,717,1
jakarta.transaction,jakarta.transaction-api,2.0.1,10,13,3,61.3981,155.422,12253,1485,1
org.checkerframework,checker-qual,3.12.0,3,6,3,106.9298,162.625,19146,2518,1
org.hjson,hjson,3.0.0,14,23,9,437.5963,579.359,63537,10710,1
org.json,json,20250517,22,35,13,725.0202,933.421,115095,17086,1
org.osgi,org.osgi.service.component,1.5.1,2,4,2,31.4043,64.125,5524,780,1
org.osgi,org.osgi.service.component.annotations,1.3.0,7,7,0,32.7231,96.297,6090,812,1
org.osgi,org.osgi.service.metatype.annotations,1.3.0,1,2,1,8.7408,30,3720,152,1
org.skyscreamer,jsonassert,2.0-rc1,15,26,11,644.9981,795.672,68118,16618,1
org.slf4j,log4j-over-slf4j,2.0.16,24,45,21,544.7368,788.297,72377,13860,1
io.prometheus,simpleclient,0.16.0,23,44,21,911.2665,1116.86,128141,22561,1
org.apache.commons,commons-csv,1.8,9,14,5,321.2551,424.875,49397,7097,1
commons-cli,commons-cli,1.2,19,35,16,688.6606,946.5940,81004,16686,1
