group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage,testable_source_files,generated_test_classes,compilation_success_rate,tests_total,tests_passed,tests_failed_assertions,tests_runtime_errors,runtime_success_rate,failed_assertion_rate,runtime_error_rate
aopalliance,aopalliance,1.0,LLM,26.67,,39.13,50.00,50.00,33.33,3,1,0.3333,4,3,1,0,0.7500,0.2500,0.0000
com.github.lalyos,jfiglet,0.0.8,LLM,0.40,0.00,0.88,2.44,7.69,50.00,2,1,0.5000,2,1,0,1,0.5000,0.0000,0.5000
com.github.spotbugs,spotbugs-annotations,4.8.6,LLM,82.17,75.00,87.50,80.00,87.50,66.67,2,2,1.0000,10,10,0,0,1.0000,0.0000,0.0000
com.squareup.retrofit2,converter-gson,3.0.0,LLM,,,,,,,4,2,0.5000,5,2,0,3,0.4000,0.0000,0.6000
commons-cli,commons-cli,1.2,LLM,,,,,,,19,15,0.7895,0,0,0,0,,,
commons-logging,commons-logging,1.2,LLM,30.22,21.30,32.52,22.31,43.10,77.78,13,9,0.6923,55,47,8,0,0.8545,0.1455,0.0000
io.jsonwebtoken,jjwt-jackson,0.11.2,LLM,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
io.swagger.core.v3,swagger-annotations,2.2.8,LLM,70.39,,73.68,75.00,75.00,50.00,4,4,1.0000,19,19,0,0,1.0000,0.0000,0.0000
jakarta.transaction,jakarta.transaction-api,2.0.1,LLM,53.98,,70.83,80.95,80.95,81.82,10,9,0.9000,19,17,2,0,0.8947,0.1053,0.0000
org.apache.commons,commons-csv,1.8,LLM,34.21,20.06,33.70,22.79,43.59,86.67,9,6,0.6667,13,13,0,0,1.0000,0.0000,0.0000
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,LLM,35.58,23.53,34.97,28.26,38.46,60.00,5,2,0.4000,16,15,1,0,0.9375,0.0625,0.0000
org.checkerframework,checker-qual,3.12.0,LLM,24.83,18.64,22.51,21.18,38.46,28.57,3,2,0.6667,7,5,2,0,0.7143,0.2857,0.0000
