group_id,artifact_id,version,classes_under_test,total_llm_calls,repair_calls,total_llm_generation_time_seconds,total_pipeline_runtime_seconds,total_prompt_tokens,total_output_tokens,num_repair_attempts
aopalliance,aopalliance,1.0,3,12,9,85.5997,140.641,17081,2142,3
com.github.lalyos,jfiglet,0.0.8,2,8,6,144.9647,190.969,20303,3840,3
com.github.spotbugs,spotbugs-annotations,4.8.6,2,2,0,15.3957,39.969,1110,431,3
commons-fileupload,commons-fileupload,1.4,23,73,50,1322.3367,1684.938,179774,33904,3
commons-logging,commons-logging,1.2,13,35,22,1182.1167,1342.813,135804,28858,3
commons-pool,commons-pool,1.6,16,36,20,749.1824,914.922,123454,17983,3
io.jsonwebtoken,jjwt-jackson,0.11.2,2,8,6,132.4015,159.11,13386,3753,3
io.swagger.core.v3,swagger-annotations,2.2.8,4,4,0,25.8538,66.422,1962,719,3
jakarta.transaction,jakarta.transaction-api,2.0.1,10,15,5,77.3007,176.031,12803,1952,3
org.checkerframework,checker-qual,3.12.0,3,10,7,188.3567,262.281,35936,4636,3
org.hjson,hjson,3.0.0,14,43,29,861.153,1084.86,118920,21900,3
org.json,json,20250517,22,50,28,1140.0646,1426.453,174992,27512,3
org.osgi,org.osgi.service.component,1.5.1,2,8,6,47.8345,93.016,10290,1164,3
org.osgi,org.osgi.service.component.annotations,1.3.0,7,7,0,32.3303,94.062,4788,798,3
org.osgi,org.osgi.service.metatype.annotations,1.3.0,1,1,0,6.4162,21.359,1290,153,3
org.skyscreamer,jsonassert,2.0-rc1,15,46,31,1176.1559,1385.016,130564,30549,3
org.slf4j,log4j-over-slf4j,2.0.16,24,77,53,994.9979,1354.813,134350,25511,3
io.prometheus,simpleclient,0.16.0,23,82,59,1638.8293,1944.687,238828,42509,3
commons-cli,commons-cli,1.2,19,64,45,1212.7863,1621.0000,165971,30159,3
org.apache.commons,commons-csv,1.8,9,23,14,606.6420,758.1400,90902,13715,3
