group_id,artifact_id,version,total_classes_under_test,total_llm_calls,repair_calls,total_llm_generation_time_seconds,total_pipeline_runtime_seconds,total_prompt_tokens,total_output_tokens,number_of_repair_attempts
aopalliance,aopalliance,1.0,3,6,3,41.2308,71.8900,8469,989,1
com.github.lalyos,jfiglet,0.0.8,2,4,2,86.8601,111.7500,10523,2203,1
com.github.spotbugs,spotbugs-annotations,4.8.6,2,2,0,15.5406,35.3600,1476,439,1
commons-fileupload,commons-fileupload,1.4,23,43,20,898.2199,1175.2040,109874,15817,1
commons-logging,commons-logging,1.2,13,23,10,844.6777,1012.0790,86043,15367,1
commons-pool,commons-pool,1.6,16,24,8,449.7054,547.1870,90797,9892,1
io.grpc,grpc-protobuf,1.62.2,1,2,1,34.6845,40.5630,4097,926,1
