group_id,artifact_id,version,source,instruction_coverage,branch_coverage,line_coverage,complexity_coverage,method_coverage,class_coverage,testable_source_files,generated_test_classes,compilation_success_rate,tests_total,tests_passed,tests_failed_assertions,tests_runtime_errors,runtime_success_rate,failed_assertion_rate,runtime_error_rate
com.github.lalyos,jfiglet,0.0.8,LLM,63.37,57.14,57.52,48.78,46.15,50,2,1,0.5,8,4,1,3,0.5,0.125,0.375
com.github.spotbugs,spotbugs-annotations,4.8.6,LLM,82.17,75,87.5,80,87.5,66.67,2,2,1,12,12,0,0,1,0,0
commons-fileupload,commons-fileupload,1.4,LLM,26.12,21.65,21.25,16.38,18.83,25.64,23,9,0.3913,41,25,16,0,0.6098,0.3902,0
commons-logging,commons-logging,1.2,LLM,6.08,1.64,6.95,8.04,15.82,14.81,13,4,0.3077,58,37,21,0,0.6379,0.3621,0
commons-pool,commons-pool,1.6,LLM,5.31,4.4,6.16,4.25,7.41,13.04,16,5,0.3125,39,28,10,1,0.7179,0.2564,0.0256
io.jsonwebtoken,jjwt-jackson,0.11.2,LLM,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
io.swagger.core.v3,swagger-annotations,2.2.8,LLM,67.7,,73.68,75,75,50,4,4,1,18,18,0,0,1,0,0
jakarta.transaction,jakarta.transaction-api,2.0.1,LLM,39.13,,62.5,71.43,71.43,72.73,10,8,0.8,17,15,2,0,0.8824,0.1176,0
org.checkerframework,checker-qual,3.12.0,LLM,43.33,61.02,45.89,52.94,61.54,28.57,3,2,0.6667,12,7,5,0,0.5833,0.4167,0
org.hjson,hjson,3.0.0,LLM,26.91,22.75,29.07,22.19,35.36,66.67,14,8,0.5714,53,43,9,1,0.8113,0.1698,0.0189
org.json,json,20250517,LLM,17.86,12.84,18.96,12.32,25.27,73.08,22,12,0.5455,69,47,17,5,0.6812,0.2464,0.0725
org.osgi,org.osgi.service.component,1.5.1,LLM,22.86,,23.08,20,20,16.67,2,1,0.5,5,2,2,1,0.4,0.4,0.2
org.osgi,org.osgi.service.component.annotations,1.3.0,LLM,100,,100,100,100,100,7,7,1,18,18,0,0,1,0,0
org.osgi,org.osgi.service.metatype.annotations,1.3.0,LLM,0,,0,0,0,0,1,1,1,1,0,1,0,0,1,0
org.skyscreamer,jsonassert,2.0-rc1,LLM,18.75,14.94,18.23,16.36,21.94,43.75,15,6,0.4,30,25,3,2,0.8333,0.1,0.0667
org.slf4j,log4j-over-slf4j,2.0.16,LLM,25.71,6.96,23.59,19.05,26.38,58.33,24,7,0.2917,35,27,8,0,0.7714,0.2286,0
io.prometheus,simpleclient,0.16.0,LLM,4.03,1.91,4.96,3.16,6.03,9.26,23,2,0.087,15,12,3,0,0.8,0.2,0
aopalliance,aopalliance,1.0,LLM,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
commons-cli,commons-cli,1.2,LLM,25.61,22.65,25.44,24.06,34.31,65.00,19,11,0.5789,77,53,23,1,0.6883,0.2987,0.0130
org.apache.commons,commons-csv,1.8,LLM,23.35,6.08,21.51,12.43,28.72,80.00,9,4,0.4444,13,9,3,1,0.6923,0.2308,0.0769
