group_id,artifact_id,version,total_classes_under_test,total_llm_calls,repair_calls,total_llm_generation_time_seconds,total_pipeline_runtime_seconds,total_prompt_tokens,total_output_tokens,number_of_repair_attempts
aopalliance,aopalliance,1.0,3,3,0,28.4703,37.4070,2305,624,0
com.github.lalyos,jfiglet,0.0.8,2,2,0,38.1904,62.1100,3145,1081,0
com.github.spotbugs,spotbugs-annotations,4.8.6,2,2,0,15.5040,37.8430,1476,439,0
commons-fileupload,commons-fileupload,1.4,23,23,0,311.2741,578.7350,47496,8032,0
commons-logging,commons-logging,1.2,13,13,0,323.2732,470.1570,40102,8080,0
commons-pool,commons-pool,1.6,16,16,0,307.9773,426.1250,59809,7002,0
io.grpc,grpc-protobuf,1.62.2,1,1,0,15.9485,18.6720,1217,449,0
io.jsonwebtoken,jjwt-jackson,0.11.2,2,2,0,32.7823,47.3590,2481,937,0
io.swagger.core.v3,swagger-annotations,2.2.8,4,4,0,33.4964,46.2190,2712,950,0
jakarta.transaction,jakarta.transaction-api,2.0.1,10,10,0,44.5941,162.3910,7561,1119,0
commons-cli,commons-cli,1.2,19,19,0,287.9017,442.2340,37510,7493,0
org.apache.commons,commons-csv,1.8,9,9,0,150.5633,204.6720,26716,3559,0
org.apache.logging.log4j,log4j-to-slf4j,2.17.2,5,5,0,77.4988,134.8750,6230,2177,0
org.checkerframework,checker-qual,3.12.0,3,3,0,46.6473,89.0470,6728,1187,0
org.hjson,hjson,3.0.0,14,14,0,233.4551,322.2180,30741,6053,0
org.json,json,20250517,22,22,0,367.0096,551.6720,62373,8703,0
org.osgi,org.osgi.service.component,1.5.1,2,2,0,11.6344,35.2350,1839,289,0
org.osgi,org.osgi.service.component.annotations,1.3.0,7,7,0,47.4064,83.9680,6102,1264,0
org.osgi,org.osgi.service.metatype.annotations,1.3.0,1,1,0,8.5258,24.0790,1478,221,0
org.skyscreamer,jsonassert,2.0-rc1,15,15,0,270.5028,361.9370,27418,7415,0
org.slf4j,log4j-over-slf4j,2.0.16,24,24,0,255.4482,448.2180,23914,6984,0
io.prometheus,simpleclient,0.16.0,23,22,0,405.4192,874.8440,48025,10672,0
